World bank region,Country,Year,Birth Rate,Death Rate,Fertility Rate,Life Expectancy at Birth Female,Life Expectancy at Birth Male,Life Expectancy at Birth Total,Population Density,Urban Population Percent,Urban Population Percent Growth,Telephone Lines per 100 People,ImageURL
North America,Canada,1980,15.4,7,1.754,78.59,71.32,74.86634146,2.669706197,75.623,1.050578234,39.56235092,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1981,15.4,7.1,1.74,78.73,71.6,75.07804878,2.704456255,75.663,1.346125553,40.71224022,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1982,15.3,7,1.7,79.11,72.02,75.47853659,2.738216596,75.712,1.30533307,41.57076055,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1983,15.1,7.1,1.69,79.23,72.3,75.6804878,2.771427095,75.874,1.419292924,41.32064158,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1984,15,7,1.68,79.55,72.69,76.03634146,2.799359103,76.035,1.214785179,41.42934621,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1985,15,7,1.65,79.78,73.02,76.31756098,2.826411364,76.195,1.171940588,46.30512952,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1986,14.9,7,1.67,79.73,73.04,76.30341463,2.852803813,76.354,1.137905494,48.2932946,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1987,14.5,7.2,1.675,79.8,73.24,76.44,2.88161557,76.502,1.198523749,49.4640816,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1988,14.4,7.2,1.68,80.12,73.52,76.7395122,2.919664684,76.522,1.337907772,50.66196069,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1989,14.5,7.3,1.68,80.2,73.58,76.80926829,2.95760383,76.542,1.317198149,51.92702113,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1990,14.9,7.3,1.77,80.4,73.89,77.06560976,3.010828602,76.562,1.809715688,53.6709156,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1991,15,7.3,1.83,80.65,74.26,77.37707317,3.05613564,76.582,1.519714007,55.30383664,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1992,14.9,7.2,1.7,80.77,74.49,77.55341463,3.097998683,76.62,1.410113263,56.46279524,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1993,14.7,6.9,1.71,80.02,74.75,77.32073171,3.136258386,76.887,1.57528573,57.30875282,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1994,13.6,6.8,1.7,80.83,74.69,77.68512195,3.170767943,77.152,1.438396725,58.29478498,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1995,13.1,7.2,1.6695,80.93,74.94,77.86195122,3.201393741,77.414,1.300261364,59.50213582,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1996,12.6,7.1,1.639,81.02,75.08,77.97756098,3.228016464,77.675,1.164742225,59.96607123,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1997,12,7.3,1.592,81.15,75.45,78.2304878,3.262975463,77.951,1.431860375,60.75095125,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1998,11.6,7.2,1.55,81.4,75.7,78.4804878,3.297648543,78.34,1.554802761,62.47802304,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,1999,11.4,7.2,1.53,81.5,75.96,78.66243902,3.326317341,78.724,1.354590186,64.01340493,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2000,11.2,7.3,1.51,81.7,76.2,78.88292683,3.353952434,79.103,1.307641359,67.0049485,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
