Name,Distance,Stellar Magnitude,Planet type,Discovery year,Mass multiplier,Mass wrt,Radius multiplier,Radius wrt,Orbital radius,Orbital period,Eccentricity,Detection method
11 Comae Berenices b,304,4.72307,Gas Giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial Velocity
11 Ursae Minoris b,409,5.013,Gas Giant,2009,14.74,Jupiter,1.09,Jupiter,1.53,1.4,0.08,Radial Velocity
14 Andromedae b,246,5.23133,Gas Giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0,Radial Velocity
2MASS J19383260+4603591 b,1293,12.651,Gas Giant,2015,1.9,Jupiter,1.2,Jupiter,0.92,1.1115674,0.33,Eclipse Timing Variations
AU Microscopii b,32,8.81,Neptune-like,2020,20.12,Earth,0.363,Jupiter,0.0645,0.023271732,0.19,Transit
AU Microscopii c,32,8.81,Neptune-like,2021,9.6,Earth,0.289,Jupiter,0.1101,0.051745377,0.04,Transit
BD+60 1417 b,147,9.374,Gas Giant,2021,15,Jupiter,1.31,Jupiter,1662,67794.6,0,Direct Imaging
Beta Pictoris b,64,3.85,Gas Giant,2008,11.73313,Jupiter,1.65,Jupiter,10.019926,23.6,0.11,Direct Imaging
CoRoT-7 b,522,11.728,Super Earth,2009,4.07661,Earth,1.681,Earth,0.017016,0.002464066,0,Transit
CT Chamaleontis b,622,12.335,Gas Giant,2007,17,Jupiter,2.2,Jupiter,440,0.99931556,0,Direct Imaging
DE Canum Venaticorum b,100,12.956,Gas Giant,2018,12.0293,Jupiter,1.1,Jupiter,5.75,11.2,0,Eclipse Timing Variations
DH Tauri b,440,13.98,Gas Giant,2004,11,Jupiter,2.7,Jupiter,330,10441.5,0,Direct Imaging
DP Leonis b,997,18.6837,Gas Giant,2009,6.28,Jupiter,1.14,Jupiter,8.19,28,0.39,Eclipse Timing Variations
GJ 504 b,57,5.18799,Gas Giant,2013,4,Jupiter,1.16,Jupiter,43.5,259.9,0,Direct Imaging
GJ 896 A b,20,10.05,Gas Giant,2022,2.26,Jupiter,1.19,Jupiter,0.63965,0.77864474,0.35,Astrometry
HD 95086 b,281,7.36,Gas Giant,2013,5,Jupiter,1.15,Jupiter,55.7,328.8,0,Direct Imaging
HD 97048 b,600,8.44,Gas Giant,2019,2.5,Jupiter,1.18,Jupiter,130,957.3,0,Disk Kinematics
HU Aquarii AB b,627,16.183,Gas Giant,2011,5.9,Jupiter,1.14,Jupiter,3.6,6.5,0,Eclipse Timing Variations
HU Aquarii AB c,627,16.183,Gas Giant,2011,4.5,Jupiter,1.15,Jupiter,5.4,12,0.51,Eclipse Timing Variations
Kepler-122 f,3352,14.403,Super Earth,2014,36,Earth,1.75,Earth,0.287,0.154141,0,Transit Timing Variations
Kepler-138 e,218,13.04,Terrestrial,2022,0.43,Earth,0.797,Earth,0.1803,0.1045859,0.11,Transit Timing Variations
Kepler-338 e,1803,12.19,Super Earth,2014,8.5,Earth,1.56,Earth,0.0893,0.025462013,0.05,Transit Timing Variations
Kepler-37 e,209,9.770001,Terrestrial,2014,0.0275,Earth,0.37,Earth,0.246,0.14017797,0,Transit Timing Variations
Kepler-411 e,501,12.448,Neptune-like,2018,10.8,Earth,0.293,Jupiter,0.186,0.0862423,0.02,Transit Timing Variations
Kepler-414 b,1349,13.378,Super Earth,2014,3.5,Earth,1.71,Earth,0.0527,0.012867898,0,Transit Timing Variations
Kepler-414 c,1349,13.378,Neptune-like,2014,29.9,Earth,0.269,Jupiter,0.0699,0.019712524,0,Transit Timing Variations
Kepler-415 b,1730,16.142,Super Earth,2014,0.377,Jupiter,1.21,Earth,0.0426,0.011498973,0,Transit Timing Variations
Kepler-415 c,1730,16.142,Super Earth,2014,4.7,Earth,0.201,Jupiter,0.0695,0.023819301,0,Transit Timing Variations
Kepler-416 b,2253,14.166,Super Earth,2014,0.183,Jupiter,0.221,Jupiter,0.0658,0.017248461,0,Transit Timing Variations
Kepler-416 c,2253,14.166,Neptune-like,2014,6.57,Earth,0.219,Jupiter,0.1021,0.03340178,0,Transit Timing Variations
